"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU7348",1,1.438,1,2,"NS"
"OTU2059",1,1.73,1,3,"NS"
"OTU8629",11,3.982,2,6,"Generalists"
"OTU1107",4,3.424,1.475,6,"NS"
"OTU2182",6,19.254,14,25,"Specialists"
"OTU606",1,2.166,1,3.52499999999998,"NS"
"OTU1452",8,6.202,3,9,"NS"
"OTU17",17,50.31,43,58.525,"Specialists"
"OTU169",2,1.442,1,2,"NS"
"OTU152",2,16.196,11,21.525,"Specialists"
"OTU2288",11,3.878,2,6,"Generalists"
"OTU1151",13,13.506,9,18,"NS"
"OTU70",9,2.67,1,4,"Generalists"
"OTU3170",3,1.962,1,3,"NS"
"OTU6797",8,4.082,2,6,"Generalists"
"OTU1149",4,15.426,10,20,"Specialists"
"OTU2781",3,1.99,1,3,"NS"
"OTU2498",5,3.43,2,5,"NS"
"OTU11669",2,1.402,1,2,"NS"
"OTU4109",1,3.146,2,5,"Specialists"
"OTU196",48,35.33,29,43,"Generalists"
"OTU10381",3,1.97,1,3,"NS"
"OTU11998",1,7.828,4.475,12,"Specialists"
"OTU113",4,14.704,10,19,"Specialists"
"OTU253",27,29.944,24,37,"NS"
"OTU2634",1,4.026,2,6,"Specialists"
"OTU199",3,1.716,1,3,"NS"
"OTU69",5,2.702,1,4.52499999999998,"Generalists"
"OTU2520",2,11.98,8,16,"Specialists"
"OTU4803",8,7.984,5,11,"NS"
"OTU7056",19,4.528,2,7,"Generalists"
"OTU481",2,17.144,12,22,"Specialists"
"OTU1416",4,3.574,2,6,"NS"
"OTU3849",4,5.234,3,8,"NS"
"OTU5437",5,2.37,1,4,"Generalists"
"OTU165",2,4.042,2,6,"NS"
"OTU2001",6,10.576,6.475,15,"Specialists"
"OTU558",18,17.928,12,24,"NS"
"OTU4759",6,2.328,1,4,"Generalists"
"OTU511",9,31.226,25,38,"Specialists"
"OTU10836",3,9.224,6,13,"Specialists"
"OTU5477",2,3.132,2,5,"NS"
"OTU212",7,2.87,1,5,"Generalists"
"OTU1916",24,7.99,5,12,"Generalists"
"OTU722",1,10.838,7,15,"Specialists"
"OTU3810",4,2.54,1,4,"NS"
