X16S_ID,Observed,beta_div_metacomm_mean,abund_null_dev_stoch,abund_null_dev_det,Domain,Grass
X1351_644,1489,0.635443698,-0.185381438,-0.038407126,Bacteria,BOGR
X1351_645,1469,0.642530426,-0.17829471,-0.031320397,Bacteria,BOGR
X1351_646,1542,0.639107059,-0.181718077,-0.034743764,Bacteria,BOGR
X1351_647,658,0.644643073,-0.176182063,-0.02920775,Bacteria,BOGR
X1351_648,921,0.62213695,-0.198688187,-0.051713874,Bacteria,BOGR
X1351_649,971,0.582357694,-0.238467442,-0.09149313,Bacteria,BOGR
X1351_651,931,0.598923613,-0.221901523,-0.07492721,Bacteria,BOGR
X1351_652,758,0.622967728,-0.197857408,-0.050883095,Bacteria,BOGR
X1351_705,829,0.62457424,-0.196250896,-0.049276583,Bacteria,BOGR
X1351_706,961,0.623616523,-0.197208614,-0.050234301,Bacteria,BOGR
X1351_707,1117,0.613997475,-0.206827661,-0.059853348,Bacteria,BOGR
X1351_708,994,0.628417804,-0.192407332,-0.045433019,Bacteria,BOGR
X1351_709,1152,0.654713687,-0.166111449,-0.019137137,Bacteria,BOGR
X1351_1432,873,0.646692516,-0.17413262,-0.027158307,Bacteria,BOGR
X1351_666,783,0.623369302,-0.197455834,-0.050481521,Bacteria,BOGR
X1351_667,616,0.618049681,-0.202775456,-0.055801143,Bacteria,BOGR
X1351_668,860,0.628403735,-0.192421401,-0.045447088,Bacteria,BOGR
X1351_669,735,0.613474961,-0.207350175,-0.060375863,Bacteria,BOGR
X1351_671,656,0.618435811,-0.202389325,-0.055415012,Bacteria,BOGR
X1351_1710,1062,0.696297449,-0.112005848,0.011773769,Bacteria,BUDA
X1351_1711,1333,0.589666518,-0.21863678,-0.094857162,Bacteria,BUDA
X1351_1712,1226,0.572232237,-0.23607106,-0.112291443,Bacteria,BUDA
X1351_1701,1131,0.553798723,-0.254504574,-0.130724957,Bacteria,BUDA
X1351_1702,933,0.617098157,-0.191205141,-0.067425524,Bacteria,BUDA
X1351_1703,1142,0.576147302,-0.232155995,-0.108376378,Bacteria,BUDA
X1351_1704,1199,0.580480268,-0.227823029,-0.104043412,Bacteria,BUDA
