"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU2532",66,40.726,35,47,"Generalists"
"OTU22046",5,8.284,6,11,"Specialists"
"OTU3203",11,13.12,10,17,"NS"
"OTU1039",38,22.622,18,28,"Generalists"
"OTU1338",13,10.466,7,13,"NS"
"OTU40272",6,4.808,3,6,"NS"
"OTU356",44,26.476,22,32,"Generalists"
"OTU9690",21,13.966,10,17,"Generalists"
"OTU155",53,47.032,41,53,"NS"
"OTU1568",15,32.124,26.475,38,"Specialists"
"OTU2634",10,10.264,7,14,"NS"
"OTU1547",20,27.264,22,32,"Specialists"
"OTU4106",12,10.524,7,14,"NS"
"OTU3708",3,3.432,2,4,"NS"
"OTU130",70,68.144,63,73,"NS"
"OTU991",59,29.62,24,35,"Generalists"
"OTU711",19,14.878,11,19,"NS"
"OTU462",59,43.206,37,49,"Generalists"
"OTU514",22,22.854,18,27,"NS"
"OTU118",38,36.508,31,43,"NS"
"OTU8415",10,7.368,5,10,"NS"
"OTU39408",33,21.132,17,26,"Generalists"
"OTU630",20,14.116,10,18,"Generalists"
"OTU487",37,27.154,22,32,"Generalists"
"OTU56",36,45.768,40,52,"Specialists"
"OTU1177",59,39.252,33.475,45,"Generalists"
"OTU4510",24,12.924,10,16,"Generalists"
"OTU1107",26,15.874,12,20,"Generalists"
"OTU2693",19,12.26,9,16,"Generalists"
"OTU89",6,5.92,4,8,"NS"
"OTU14",72,70.964,66,75,"NS"
"OTU1923",3,3.432,2,4,"NS"
"OTU974",44,31.392,26,37,"Generalists"
"OTU3121",15,10.21,7,13,"Generalists"
"OTU695",28,24.42,20,29.525,"NS"
"OTU3622",3,4.118,3,5,"NS"
"OTU83489",6,5.298,3,7,"NS"
"OTU56811",2,9.792,7,13,"Specialists"
"OTU449",57,41.226,35,48,"Generalists"
"OTU288",42,53.934,47,60,"Specialists"
"OTU7233",22,16.266,12,21,"Generalists"
"OTU6217",17,37.142,32,43,"Specialists"
"OTU52323",46,27.064,22,33,"Generalists"
"OTU3165",9,10.544,7,14,"NS"
"OTU69171",36,25.748,21,31,"Generalists"
"OTU535",64,54.074,48,60,"Generalists"
"OTU2828",1,2.728,2,3,"Specialists"
"OTU4568",19,13.33,10,17,"Generalists"
"OTU389",71,65.136,59,71,"NS"
"OTU1885",8,7.902,6,10,"NS"
"OTU112",77,73.298,69,77,"NS"
"OTU2916",47,34.262,29,40,"Generalists"
"OTU10919",28,46.01,39.475,52,"Specialists"
"OTU1616",31,18.8,15,23,"Generalists"
"OTU126",8,39.446,33,46,"Specialists"
"OTU379",10,16.216,12,21,"Specialists"
"OTU6578",23,14.522,11,18,"Generalists"
"OTU63",38,40.096,34,46,"NS"
"OTU2696",9,9.006,7,12,"NS"
"OTU2769",9,10.486,7,13,"NS"
"OTU44620",25,17.864,13,22,"Generalists"
"OTU1445",58,31.016,25,37,"Generalists"
"OTU1659",11,8.258,6,11,"NS"
"OTU6055",14,17.776,14,22,"NS"
"OTU4380",7,7.868,5,10,"NS"
"OTU2132",16,11.782,9,15,"Generalists"
"OTU2044",9,6.378,4,9,"NS"
"OTU833",5,14.48,10.475,18,"Specialists"
"OTU25570",48,41.266,35,47,"Generalists"
"OTU2804",2,2.726,2,3,"NS"
"OTU1200",15,12.378,9,16,"NS"
"OTU1975",2,3.466,2,4,"NS"
"OTU145",23,20.388,16,25,"NS"
"OTU1663",13,10.33,7,13,"NS"
"OTU725",17,26.408,22,32,"Specialists"
"OTU1319",22,32.008,26,38,"Specialists"
"OTU18",16,14.942,11,19,"NS"
"OTU429",2,1.908,1,2,"NS"
"OTU144",71,49.664,43.475,55.525,"Generalists"
"OTU361",72,46.406,40,52,"Generalists"
"OTU21464",5,4.174,3,5,"NS"
"OTU10508",15,11.766,8,15,"NS"
"OTU18682",9,9.564,7,13,"NS"
"OTU1649",18,13.782,10,17,"Generalists"
"OTU3328",13,10.932,8,14,"NS"
"OTU5452",13,9.794,7,13,"NS"
"OTU45500",28,22.952,18,28,"NS"
"OTU2259",41,33.136,28,39,"Generalists"
"OTU240",45,35.334,30,41,"Generalists"
"OTU246",6,9.84,7,13,"Specialists"
"OTU621",30,24.33,19,30,"NS"
"OTU11790",13,10.522,7,13,"NS"
"OTU96808",51,28.922,23,34,"Generalists"
"OTU1798",24,18.92,15,23,"Generalists"
"OTU397",48,36.844,31,43,"Generalists"
"OTU267",15,24.92,20,30,"Specialists"
"OTU1188",9,9.492,7,12,"NS"
"OTU2292",23,17.674,14,22,"Generalists"
"OTU8655",8,6.456,4,9,"NS"
"OTU1433",5,5.356,3.475,7,"NS"
"OTU83546",20,13.48,10,17,"Generalists"
"OTU8861",12,14.46,11,18,"NS"
"OTU80511",2,1.896,1,2,"NS"
"OTU1357",41,27.128,22,33,"Generalists"
"OTU1395",6,5.936,4,8,"NS"
"OTU7368",21,16.484,13,21,"NS"
