"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU2890",4,3.02,1,5,"NS"
"OTU11409",1,2.564,1,4,"NS"
"OTU4253",5,4.036,2,6,"NS"
"OTU6511",1,1.368,1,2,"NS"
"OTU415",8,14.664,10,20,"Specialists"
"OTU2933",2,2.942,1,5,"NS"
"OTU1959",2,3.992,2,6,"NS"
"OTU902",3,18.182,13,23,"Specialists"
"OTU4634",2,1.654,1,3,"NS"
"OTU31",3,2.032,1,3,"NS"
"OTU1669",1,1.862,1,3,"NS"
"OTU7328",1,1.38,1,2,"NS"
"OTU7255",4,4.714,2,8,"NS"
"OTU1238",27,17.648,13,23,"Generalists"
"OTU11427",2,1.418,1,2,"NS"
"OTU1339",6,2.22,1,4,"Generalists"
"OTU1695",3,11.224,7.475,15,"Specialists"
"OTU4490",4,4.712,2,7,"NS"
"OTU1352",4,14.994,10.475,20,"Specialists"
"OTU1829",10,12.882,8.475,17,"NS"
"OTU4523",9,6.828,4,10,"NS"
"OTU5978",8,4.302,2,7,"Generalists"
"OTU834",16,18.366,13,24,"NS"
"OTU8447",3,6.742,4,10,"Specialists"
"OTU1876",13,13.118,9,18,"NS"
"OTU8971",2,2.15,1,4,"NS"
"OTU9696",21,7.318,4,11,"Generalists"
"OTU2995",12,11.376,7,15,"NS"
"OTU2528",11,8.702,5,12,"NS"
"OTU4863",11,5.834,3,9,"Generalists"
"OTU1429",39,20.044,15,26,"Generalists"
"OTU937",3,20.688,16,26,"Specialists"
"OTU782",6,11.172,7,15,"Specialists"
"OTU4059",4,8.638,5,12,"Specialists"
"OTU3919",2,2.798,1,5,"NS"
"OTU3053",15,7.844,5,11,"Generalists"
"OTU6807",4,2.756,1,5,"NS"
"OTU3688",1,2.252,1,4,"NS"
"OTU11893",5,2.272,1,4,"Generalists"
"OTU4249",11,5.33,3,8,"Generalists"
"OTU10526",2,3.156,1,5,"NS"
"OTU8630",4,2.444,1,4,"NS"
"OTU6762",1,2.33,1,4,"NS"
"OTU7077",1,2.324,1,4,"NS"
"OTU9632",4,3.682,1.475,6,"NS"
"OTU10801",1,1.824,1,3,"NS"
