"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU2724",10,10.558,8,13,"NS"
"OTU1395",20,16.854,13,21,"NS"
"OTU7368",7,6.964,5,9,"NS"
"OTU50",79,71.224,64,77,"Generalists"
"OTU22976",12,10.15,8,13,"NS"
"OTU85267",16,10.67,7.475,14,"Generalists"
"OTU954",59,37.056,31,43,"Generalists"
"OTU142",60,56.534,50,63,"NS"
"OTU772",2,1.9,1,2,"NS"
"OTU11952",5,7.492,5,10,"NS"
"OTU4915",13,11.25,8,14,"NS"
"OTU1436",22,16.958,13,21,"Generalists"
"OTU1404",1,1.902,1,2,"NS"
"OTU3711",49,30.506,25,36,"Generalists"
"OTU203",33,24.89,20,30,"Generalists"
"OTU4098",11,11.342,8,15,"NS"
"OTU4546",8,6.066,4,8,"NS"
"OTU415",60,55.672,49,63,"NS"
"OTU1487",12,11.086,8,14,"NS"
"OTU15315",6,5.846,4,8,"NS"
"OTU16168",15,11.496,8.475,15,"NS"
"OTU519",87,72.264,65.475,78.525,"Generalists"
"OTU57388",5,4.198,3,5,"NS"
"OTU21769",6,5.978,4,8,"NS"
"OTU3614",12,10.97,7,14,"NS"
"OTU775",48,71.388,65,78,"Specialists"
"OTU91",40,42.148,36,48,"NS"
"OTU204",78,88.226,83,92,"Specialists"
"OTU193",85,55.962,49,63,"Generalists"
"OTU237",12,9.476,7,12,"NS"
"OTU1809",24,15.98,12,20,"Generalists"
"OTU3466",2,1.902,1,2,"NS"
"OTU1675",13,10.02,7,13,"NS"
"OTU23494",33,26.332,21,31,"Generalists"
"OTU739",12,10.932,8,14,"NS"
"OTU433",8,7.454,5,9,"NS"
"OTU505",78,57.142,50,64,"Generalists"
"OTU89273",3,2.706,2,3,"NS"
"OTU4941",19,14.712,11,19,"NS"
"OTU1359",30,23.776,19,29,"Generalists"
"OTU60267",78,63.856,57,71,"Generalists"
"OTU11987",2,2.726,2,3,"NS"
"OTU2045",3,4.124,3,5,"NS"
"OTU12403",5,4.15,3,5,"NS"
"OTU585",53,33.194,27,38.525,"Generalists"
"OTU1191",28,19.024,15,24,"Generalists"
"OTU2939",17,11.724,9,15,"Generalists"
"OTU25139",8,13.09,10,17,"Specialists"
"OTU905",11,9.23,7,12,"NS"
"OTU2052",38,32.258,27,38,"NS"
"OTU1903",5,4.126,3,5,"NS"
