OTU,observed,mean.simulated,lowCI,uppCI,Sign
OTU106,225,337.82,320.95,351.525,Specialists
OTU3771,39,31.54,27,36,Generalists
OTU4870,9,17.85,15,21,Specialists
OTU2105,21,25.76,22.475,30,Specialists
OTU132,254,369.03,354.425,383.525,Specialists
OTU5689,42,42.45,37,49.525,NS
OTU7282,32,30.28,25,35,NS
OTU81400,133,100.41,89,109.525,Generalists
OTU262,223,232.65,216.475,246.05,NS
OTU22398,34,32.15,26,37,NS
OTU668,226,114.72,103,125.525,Generalists
OTU20927,1,2.92,2,3,Specialists
OTU3396,34,26.7,20.475,31.525,Generalists
OTU3025,17,26.69,22,31,Specialists
OTU9013,9,11.11,9,13,NS
OTU4739,11,9.64,7.475,11,NS
OTU3621,32,27.28,22.475,31.525,Generalists
OTU109,180,245.1,230.475,261.05,Specialists
OTU8374,167,80.43,71,90.525,Generalists
OTU8480,22,18.07,15,21.525,Generalists
OTU3049,7,23.27,20,27.525,Specialists
OTU4425,59,105.32,96,117.05,Specialists
OTU3352,52,55.24,46.475,62,NS
OTU10189,10,9.03,7,10,NS
OTU40791,7,8.93,7,10,NS
OTU2726,51,47.22,41,53,NS
OTU3102,133,107.84,98,115.525,Generalists
OTU10987,12,10.37,8,12,NS
OTU35292,11,11.82,10,14,NS
OTU4467,24,19.98,17,24,NS
OTU4135,116,63.57,56,71.525,Generalists
OTU1713,65,84.41,76,94.525,Specialists
OTU27137,3,2.91,2,3,NS
OTU329,173,157.63,143.425,170.525,Generalists
OTU2021,49,47.38,40,54,NS
OTU14179,3,2.93,2,3,NS
OTU1578,249,128.41,118,139,Generalists
OTU89218,56,65.55,58,73.525,Specialists
OTU5848,65,45.63,39.475,51.525,Generalists
OTU857,159,132.16,121,146.525,Generalists
OTU58246,11,11.14,9,13,NS
OTU5442,73,61.38,54,68.525,Generalists
OTU1194,127,88.68,80.475,99,Generalists
OTU5016,17,41.44,36,47,Specialists
OTU7606,28,23.91,20,28.525,NS
OTU3387,32,50.1,44,56,Specialists
OTU10253,18,14.74,12,17,Generalists
OTU1613,235,174.96,160,189.525,Generalists
OTU9914,10,10.47,8,12,NS
OTU24122,41,69.55,60.475,78.525,Specialists
OTU10875,11,11.21,9,13,NS
OTU12402,4,4.72,4,5,NS
OTU1363,78,62.2,53.475,71,Generalists
OTU8132,10,11.23,8.475,13,NS
OTU3202,31,27.52,23.475,31.525,NS
OTU1973,13,17.85,15,21,Specialists
OTU6503,10,10.52,8.475,12,NS
OTU2048,191,100.84,90.95,112,Generalists
OTU9996,103,69.88,60.475,77,Generalists
OTU3885,20,22.77,19,26.525,NS
OTU11207,39,33.12,29,38.525,Generalists
OTU9939,63,47.5,39.95,53.525,Generalists
OTU1812,120,110.2,96.95,122,NS
OTU680,208,118.69,109.475,129.05,Generalists
OTU3638,102,87.19,75.375,95.525,Generalists
OTU15867,10,9.05,7,10,NS
OTU1584,142,88.67,80.475,97,Generalists
OTU6962,73,107.44,95.475,116.525,Specialists
OTU33859,93,80.12,69.475,88.525,Generalists
OTU18292,11,9.47,8,11,NS
OTU93514,202,133.2,122,145.525,Generalists
OTU9737,17,18.4,15,22,NS
OTU1120,80,76.07,66.475,85,NS
OTU6122,53,36.87,30.475,42,Generalists
OTU1688,84,61.55,56.475,68.525,Generalists
OTU41530,47,51.17,45,58.525,NS
OTU2297,44,38.58,33,45,NS
OTU5157,62,44.74,36.95,51,Generalists
OTU5021,45,32.95,28.475,38,Generalists
OTU4633,11,18.86,16,22,Specialists
OTU872,94,88.87,80,100,NS
OTU18329,9,8.21,7,9,NS
OTU4699,102,63.4,55.425,70,Generalists
OTU951,123,115.52,106.475,126,NS
OTU6202,8,17.85,14,21,Specialists
OTU1143,110,112.58,100.475,125.525,NS
OTU15713,62,48.06,42,55,Generalists
OTU2063,111,78.41,72,87.525,Generalists
OTU2722,109,66.64,59.95,73.525,Generalists
OTU799,84,93.8,84.475,104.05,Specialists
OTU5393,48,36.94,31.475,42.525,Generalists
OTU1025,143,119.13,109.475,130,Generalists
OTU4734,80,56.49,49,64,Generalists
OTU29049,112,76.26,66.475,83.525,Generalists
OTU6451,12,13.28,10.475,16,NS
OTU923,113,180.72,168.475,193.575,Specialists
OTU36751,311,257.13,243,270.525,Generalists
OTU3588,20,48.57,42.475,54.525,Specialists
OTU2266,43,47.39,42,54.525,NS
OTU2937,73,58.9,52,67.05,Generalists
OTU444,155,188.11,173.95,203.575,Specialists
OTU2461,64,44.96,39,50.525,Generalists
OTU1617,136,75.72,67.475,84,Generalists
OTU12679,3,5.66,4,6,Specialists
OTU2087,96,67.96,60.475,76,Generalists
OTU29655,104,106.04,96.475,114.575,NS
OTU1492,51,56.38,50,62.525,NS
OTU8138,74,51.34,45,57.525,Generalists
OTU2662,74,51.68,44,57.525,Generalists
OTU9844,4,3.86,3,4,NS
OTU12505,13,11.22,9,13,NS
OTU1353,43,78.04,70,87.525,Specialists
OTU18453,102,100.59,91,112,NS
OTU8716,16,15.43,13,18,NS
OTU42295,58,57.2,50.475,63.525,NS
OTU1300,181,108.09,97,118.525,Generalists
OTU17554,2,1.98,2,2,NS
OTU12304,3,2.88,2,3,NS
OTU1224,57,107.83,95.95,115.525,Specialists
OTU4549,113,91.94,80.95,102.525,Generalists
OTU993,67,89.86,81,102.525,Specialists
OTU7480,27,20.99,18,24,Generalists
OTU8538,4,24.24,20.475,28,Specialists
OTU31249,6,15.9,13,19,Specialists
OTU30513,70,106.2,96,115.525,Specialists
OTU70010,59,44.09,38,50,Generalists
OTU1980,80,122.8,112,135,Specialists
OTU20869,5,4.75,4,5,NS
OTU7058,13,12.03,10,14,NS
OTU25455,7,8.23,6,9,NS
OTU5909,24,29.19,24.475,34,Specialists
OTU14295,8,8.13,6.475,9,NS
OTU3816,28,28.91,24,33.525,NS
OTU10663,19,21.35,17.475,25.525,NS
OTU32364,34,38.45,33.475,44,NS
OTU46917,17,30.88,25,35,Specialists
OTU6751,13,11.87,9,14,NS
OTU8424,34,33.13,28,41,NS
OTU8736,23,20.03,16,23,NS
OTU6548,24,20.35,17,24,NS
OTU2774,51,63.28,55,71.525,Specialists
OTU79356,97,173.11,162.475,188.525,Specialists
OTU5891,19,16.62,14,20,NS
OTU57380,2,2.91,2,3,NS
OTU4050,53,40.65,35.475,45.525,Generalists
OTU11664,34,33.44,27.475,39,NS
OTU3806,80,54.44,45.425,61.525,Generalists
OTU6361,52,40,33.475,45,Generalists
OTU8728,28,42.48,35.95,49,Specialists
OTU862,325,187.64,175,202.05,Generalists
OTU5274,26,27.06,23,31,NS
OTU1636,124,73.64,64.475,83,Generalists
OTU5153,70,45.01,38.475,51.525,Generalists
OTU25532,8,9.88,8.475,11,Specialists
OTU10935,57,62.22,55,70,NS
OTU475,76,106.29,98,115.05,Specialists
OTU16584,11,12.02,10,14,NS
OTU6620,10,9.73,7,11,NS
OTU41977,12,26.57,22,30,Specialists
OTU944,182,125.19,112.425,136,Generalists
OTU2008,87,62.32,53,70.525,Generalists
OTU5538,29,32.25,27,37.525,NS
OTU2929,74,51.88,45.475,58,Generalists
OTU15990,17,14.71,12,17,NS
OTU428,315,223.08,209.475,236.625,Generalists
OTU33848,45,57.51,52,64.525,Specialists
OTU2626,24,32.67,28,39,Specialists
OTU335,419,384.58,372,397,Generalists
OTU876,108,97.68,88,106.525,Generalists
OTU9960,96,168.96,158,181,Specialists
OTU6882,22,36.37,30.475,41,Specialists
OTU35748,4,3.88,3,4,NS
OTU5075,68,45.6,40,52,Generalists
OTU61766,21,18.01,15,21,NS
OTU18274,11,16.62,13.475,19.525,Specialists
OTU167,83,199.32,185.95,215.1,Specialists
OTU5219,46,40.36,34.475,46,NS
OTU16121,22,20.83,18,25,NS
OTU12164,21,29.71,24.475,35,Specialists
OTU26142,2,1.97,1.475,2,NS
OTU16959,70,60.38,50.475,67,Generalists
OTU7210,10,9.75,8,11,NS
OTU3487,6,29.21,23.475,35,Specialists
OTU40661,2,1.99,2,2,NS
OTU4623,16,16.66,13,19,NS
OTU15510,8,9.68,8,11,NS
OTU4308,157,98.67,90,106.525,Generalists
OTU6642,32,61.77,54.475,70,Specialists
OTU20036,25,25.78,22,30,NS
OTU5675,52,46.79,40.475,52.525,NS
OTU21958,16,16.26,13,19,NS
OTU58012,11,12.7,10.475,15,NS
OTU4989,33,28.56,24,33.525,NS
OTU48764,163,238.01,223.95,252.575,Specialists
OTU10939,35,36.64,30,42.525,NS
OTU22199,5,4.78,4,5,NS
OTU18099,24,20.93,17.475,25,NS
OTU794,263,138.49,128.475,151,Generalists
OTU48900,2,1.97,1.475,2,NS
OTU1451,151,106.46,96.475,117,Generalists
OTU65982,43,45.5,40,52.525,NS
OTU14849,16,15.51,13,18,NS
OTU6394,23,21.77,18,26,NS
OTU6324,9,11.96,10,14,Specialists
OTU88684,5,4.75,3.475,5,NS
