"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU2869",5,13.05,9,17.525,"Specialists"
"OTU4123",46,9.11,6,13,"Generalists"
"OTU7685",3,3.17,1.475,5,"NS"
"OTU4624",1,4.79,3,7.52499999999999,"Specialists"
"OTU352",4,4.85,2,7,"NS"
"OTU1046",2,1.99,1,3,"NS"
"OTU4563",3,7.37,4,10,"Specialists"
"OTU1506",6,34.56,28.475,42,"Specialists"
"OTU2176",3,1.98,1,3,"NS"
"OTU4976",3,4.9,2.475,8,"NS"
"OTU2637",16,8,5,11.525,"Generalists"
"OTU5912",2,2.19,1,4,"NS"
"OTU10212",3,2.46,1,4,"NS"
"OTU2069",1,1.6,1,2,"NS"
"OTU12401",6,5.72,3.475,9,"NS"
"OTU4408",7,5.44,3,8,"NS"
"OTU4001",10,8,5,11.525,"NS"
"OTU12156",5,7.21,4,10,"NS"
"OTU485",2,27.68,21,34.525,"Specialists"
"OTU13117",4,3.07,2,5,"NS"
"OTU595",1,3.52,2,5,"Specialists"
"OTU12362",25,5.97,3,9,"Generalists"
"OTU7314",7,3.54,2,6,"Generalists"
"OTU5027",17,24.2,18.475,29,"Specialists"
"OTU3580",6,8.73,6,12.525,"NS"
"OTU3450",30,16.54,11,21,"Generalists"
"OTU3208",5,10.22,7,14.525,"Specialists"
"OTU6551",2,3.54,2,6,"NS"
"OTU6688",3,3.92,2,6.52499999999999,"NS"
"OTU607",23,33.21,24.95,42.05,"Specialists"
"OTU2635",83,25.44,19,31,"Generalists"
"OTU3715",5,8.28,5,12.525,"NS"
"OTU10491",3,2.4,1,4,"NS"
"OTU5298",4,4.31,2,7,"NS"
"OTU2441",10,11.52,8,16,"NS"
"OTU6121",8,4.84,3,7,"Generalists"
"OTU1828",12,24.47,17.475,33,"Specialists"
"OTU1671",1,1.96,1,3,"NS"
"OTU6690",2,2.8,1,4,"NS"
"OTU8426",29,22.9,17,30,"NS"
"OTU2636",19,16.67,11,22,"NS"
"OTU5529",4,5.61,3,9,"NS"
"OTU3508",2,7.82,5,11,"Specialists"
"OTU12365",2,1.54,1,2,"NS"
"OTU2987",13,15.72,11.475,20.525,"NS"
"OTU12496",1,1.92,1,3,"NS"
"OTU10953",6,4.23,2,6.52499999999999,"NS"
"OTU850",1,2.23,1,4,"NS"
"OTU363",6,5.08,2.475,8.52499999999999,"NS"
"OTU12466",3,2.12,1,3,"NS"
"OTU1932",2,1.62,1,2,"NS"
"OTU4746",10,5.82,3,8,"Generalists"
"OTU28",33,7.88,5,11,"Generalists"
"OTU701",7,3.51,2,6.52499999999999,"Generalists"
"OTU11615",28,7.13,4,11.525,"Generalists"
"OTU10131",1,1.91,1,3,"NS"
"OTU894",18,33.41,26,40.525,"Specialists"
"OTU2832",10,11.18,8,15,"NS"
"OTU2031",105,28.93,22.475,37.05,"Generalists"
"OTU1319",10,41.16,33.475,48.525,"Specialists"
"OTU1194",4,2.72,1,4,"NS"
"OTU1385",8,4.81,2,8.52499999999999,"NS"
"OTU2788",2,1.63,1,2,"NS"
"OTU3296",25,10.83,7,14.525,"Generalists"
"OTU4669",8,6.86,4,10,"NS"
"OTU7729",3,2.02,1,3,"NS"
"OTU4901",5,7.34,4,11,"NS"
"OTU5291",31,16.72,12.475,22,"Generalists"
"OTU8607",1,2.64,1,4,"NS"
"OTU9250",3,2.7,1,4,"NS"
"OTU10293",8,11.84,7,15,"NS"
