"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SEV","SFA","UHC"
"5218","OTU9728","Fungi","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Apiospora","uncl_Apiospora",0.0144628099173554,0,0,0.0105263157894737,0,0,0.0379746835443038,0.0191082802547771,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.147058823529412,0,0,0,0,0,0
"5237","OTU1920","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00206611570247934,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0
"5254","OTU9636","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00413223140495868,0,0,0.0210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
"5278","OTU11663","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00413223140495868,0,0,0,0,0,0.0253164556962025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
"5337","OTU12904","Fungi","Ascomycota","Sordariomycetes","Xylariales","Coniocessiaceae","Coniocessia","uncl_Coniocessia",0.00206611570247934,0,0,0,0,0,0.0126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0
"5478","OTU5911","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","uncl_Amphisphaeriaceae","uncl_Amphisphaeriaceae",0.0144628099173554,0,0,0.0105263157894737,0,0.0266666666666667,0.0506329113924051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0
"5552","OTU807","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00413223140495868,0,0,0.0210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238095238095238,0,0,0,0.0454545454545455,0,0,0,0
"5613","OTU2291","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00206611570247934,0,0,0,0,0,0.0126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238095238095238,0,0,0,0,0,0,0,0
"5714","OTU5795","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Fusidium","uncl_Fusidium",0.00206611570247934,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0,0
"5755","OTU9589","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Anthostomella","Anthostomella_lamiacearum",0.00206611570247934,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476
"5876","OTU12071","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00413223140495868,0,0,0.0105263157894737,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0.05,0,0,0,0,0
"6259","OTU8576","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00206611570247934,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0
"6280","OTU602","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00413223140495868,0,0,0.0105263157894737,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0
"6304","OTU1674","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Daldinia","uncl_Daldinia",0.00206611570247934,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0
"6459","OTU9517","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Hypoxylon","Hypoxylon_invadens",0.00206611570247934,0.111111111111111,0,0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"6587","OTU4369","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00619834710743802,0,0,0,0,0,0,0.0191082802547771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143
