"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOCU_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","FSA","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SCP","SEV","UHC","SFA"
"2617","OTU2185","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00917431192660551,NA,NA,0.00847457627118644,0,0,0.00769230769230769,0.0222222222222222,0.0108108108108108,0,0,0.025,0,0,0,0.0714285714285714,0,0,0,0,0.010989010989011,0,0,0.0224719101123595,0,0,0,0,0,0,0,0,0
"2620","OTU6016","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00611620795107034,NA,NA,0,0,0,0.00769230769230769,0,0.0162162162162162,0,0,0,0,0,0,0.107142857142857,0,0,0,0,0,0,0,0.0112359550561798,0,0,0,0,0,0,0,0,0
"2638","OTU5597","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Fusidium","uncl_Fusidium",0.0107033639143731,NA,NA,0.0338983050847458,0,0,0,0,0.0162162162162162,0,0,0.025,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0.0112359550561798,0,0,0.2,0,0,0,0,0,0
"2678","OTU33","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.0336391437308868,NA,NA,0.0169491525423729,0.04,0,0,0.0444444444444444,0.0810810810810811,0,0,0.025,0,0,0,0.107142857142857,0,0,0,0.25,0.043956043956044,0.0666666666666667,0,0.112359550561798,0,0,0,0,0,0.2,0,0,0
"2690","OTU1265","Fungi","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","uncl_Apiosporaceae","uncl_Apiosporaceae",0.0642201834862385,NA,NA,0.152542372881356,0.08,0,0.00769230769230769,0.0222222222222222,0.102702702702703,0,0,0,0,0,0.142857142857143,0.107142857142857,0,0,0,0,0.0989010989010989,0,0.09375,0.0224719101123595,0.482758620689655,0.0588235294117647,0,0.0909090909090909,0,0,0,0.142857142857143,0
"2694","OTU10992","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Microdochium","Microdochium_neoqueenslandicum",0.00305810397553517,NA,NA,0,0,0,0.00769230769230769,0,0.00540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112359550561798,0,0.0294117647058824,0,0,0,0,0,0,0
"2757","OTU8920","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00458715596330275,NA,NA,0.00847457627118644,0,0,0.00769230769230769,0,0.00540540540540541,0,0,0.025,0,0,0,0,0,0,0,0,0.010989010989011,0,0.03125,0,0,0,0,0,0,0,0,0,0
"2823","OTU10473","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00611620795107034,NA,NA,0.00847457627118644,0,0,0,0,0.0162162162162162,0,0,0.025,0,0,0,0.0357142857142857,0,0,0,0,0.010989010989011,0,0,0.0112359550561798,0,0,0,0,0,0,0,0,0
"2824","OTU7574","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hyponectriaceae","uncl_Hyponectriaceae","uncl_Hyponectriaceae",0.00917431192660551,NA,NA,0.0169491525423729,0,0,0,0.0222222222222222,0.0108108108108108,0,0,0.025,0,0,0,0,0,0,0,0,0.010989010989011,0,0.0625,0,0,0.0588235294117647,0,0,0,0,0,0,0
"2862","OTU3754","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.018348623853211,NA,NA,0.0508474576271186,0,0,0.00769230769230769,0.0111111111111111,0.0216216216216216,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.28125,0,0,0.0588235294117647,0,0,0,0,0,0,0
"2872","OTU8462","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Daldinia","Daldinia_eschscholtzii",0.00305810397553517,NA,NA,0.00847457627118644,0,0,0,0,0.00540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0.0294117647058824,0,0,0,0,0,0,0
"2889","OTU10077","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00305810397553517,NA,NA,0,0,0,0.00769230769230769,0,0.00540540540540541,0,0,0.025,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2993","OTU8241","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00152905198776758,NA,NA,0,0,0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0
"3001","OTU8515","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Monosporascus","uncl_Monosporascus",0.00305810397553517,0.027027027027027,0,0,0,0.00943396226415094,0.00769230769230769,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188679245283019,0,0
"3015","OTU3242","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00764525993883792,0.027027027027027,0.0625,0,0,0.00943396226415094,0.0153846153846154,0.0111111111111111,0.00540540540540541,0,0,0,0.0357142857142857,0,0.0357142857142857,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377358490566038,0,0
