,sign,Domain,Phylum,Class,Order,Family,Genus,Species
OTU4593,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,uncl_Glomerales,uncl_Glomerales,uncl_Glomerales
OTU1957,NS,Fungi,Ascomycota,Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes
OTU1492,NS,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Periconia_epilithographicola
OTU3122,NS,Fungi,Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota
OTU6313,Generalists,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU2046,NS,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,uncl_Phaeosphaeriaceae,uncl_Phaeosphaeriaceae
OTU1010,NS,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,uncl_Bionectriaceae,uncl_Bionectriaceae
OTU6358,NS,Fungi,Ascomycota,Dothideomycetes,Pleosporales,uncl_Pleosporales,uncl_Pleosporales,uncl_Pleosporales
OTU7400,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU10851,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU10490,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,uncl_Glomerales,uncl_Glomerales,uncl_Glomerales
OTU6102,NS,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,uncl_Eurotiales,uncl_Eurotiales,uncl_Eurotiales
OTU2442,NS,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,uncl_Tulasnellaceae,uncl_Tulasnellaceae
OTU2852,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,uncl_Rhizophagus
OTU6888,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,uncl_Dominikia
OTU910,Generalists,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,uncl_Chaetothyriales,uncl_Chaetothyriales,uncl_Chaetothyriales
OTU2438,NS,Fungi,Ascomycota,Eurotiomycetes,uncl_Eurotiomycetes,uncl_Eurotiomycetes,uncl_Eurotiomycetes,uncl_Eurotiomycetes
OTU78,NS,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU3218,NS,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU3429,NS,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU1050,Specialists,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Daldinia,uncl_Daldinia
OTU7590,NS,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,uncl_Ceratobasidiaceae,uncl_Ceratobasidiaceae
OTU6049,NS,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,uncl_Sebacinales,uncl_Sebacinales,uncl_Sebacinales
OTU8286,Specialists,Fungi,Mucoromycota,Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes
OTU6425,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU1437,NS,Fungi,Ascomycota,Sordariomycetes,Hypocreales,uncl_Hypocreales,uncl_Hypocreales,uncl_Hypocreales
OTU9744,Specialists,Fungi,Mucoromycota,Glomeromycetes,Glomerales,uncl_Glomerales,uncl_Glomerales,uncl_Glomerales
OTU138,Generalists,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,uncl_Chaetothyriales,uncl_Chaetothyriales,uncl_Chaetothyriales
OTU7476,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU12705,Generalists,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,uncl_Rhizophagus
OTU3435,Specialists,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,Tulasnella,uncl_Tulasnella
OTU12313,NS,Fungi,Mucoromycota,Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes
OTU6154,Generalists,Fungi,Mucoromycota,Glomeromycetes,Glomerales,uncl_Glomerales,uncl_Glomerales,uncl_Glomerales
OTU4900,NS,Fungi,Ascomycota,Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes
OTU9305,NS,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU10547,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU2594,NS,Fungi,Ascomycota,Eurotiomycetes,uncl_Eurotiomycetes,uncl_Eurotiomycetes,uncl_Eurotiomycetes,uncl_Eurotiomycetes
OTU3022,NS,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,uncl_Phaeosphaeria
OTU2123,NS,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU11128,NS,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU104,Specialists,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,uncl_Auriculariaceae,uncl_Auriculariaceae
OTU4390,NS,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,uncl_Botryosphaeriaceae,uncl_Botryosphaeriaceae
OTU4766,NS,Fungi,Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota
OTU2553,NS,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,uncl_Botryosphaeriales,uncl_Botryosphaeriales,uncl_Botryosphaeriales
OTU2763,NS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,Cristinia,uncl_Cristinia
OTU4859,NS,Fungi,Mucoromycota,Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes
OTU337,Specialists,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU2340,NS,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,uncl_Pezizomycotina_cls_Incertae_sedis,uncl_Pezizomycotina_cls_Incertae_sedis,uncl_Pezizomycotina_cls_Incertae_sedis,uncl_Pezizomycotina_cls_Incertae_sedis
OTU10297,NS,Fungi,Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota
OTU7643,NS,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,uncl_Saccotheciaceae,uncl_Saccotheciaceae
OTU8922,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU667,Specialists,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,uncl_Bolbitiaceae,uncl_Bolbitiaceae
OTU5268,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,uncl_Glomerales,uncl_Glomerales,uncl_Glomerales
OTU92,NS,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,uncl_Ceratobasidiaceae,uncl_Ceratobasidiaceae
OTU1705,Specialists,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,uncl_Serendipitaceae,uncl_Serendipitaceae
OTU11600,NS,Fungi,Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota
OTU7735,Generalists,Fungi,Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota
OTU529,Specialists,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,uncl_Hymenochaetales,uncl_Hymenochaetales,uncl_Hymenochaetales
OTU1313,Specialists,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Sphaerobolaceae,uncl_Sphaerobolaceae,uncl_Sphaerobolaceae
OTU7082,NS,Fungi,Ascomycota,Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes
OTU13,NS,Fungi,Ascomycota,Sordariomycetes,Xylariales,uncl_Xylariales,uncl_Xylariales,uncl_Xylariales
OTU2609,Generalists,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,uncl_Curvularia
OTU2464,NS,Fungi,Ascomycota,Eurotiomycetes,Onygenales,uncl_Onygenales,uncl_Onygenales,uncl_Onygenales
OTU10193,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU240,NS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,uncl_Coprinopsis
OTU3819,NS,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Periconia_neobrittanica
OTU10231,NS,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU297,NS,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU2872,NS,Fungi,Mucoromycota,Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes
OTU7991,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU4652,Generalists,Fungi,Mucoromycota,Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes
OTU6586,NS,Fungi,Mucoromycota,Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes
OTU4187,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,Kamienskia_divaricata
OTU11896,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU5444,NS,Fungi,Ascomycota,Pezizomycetes,Pezizales,uncl_Pezizales,uncl_Pezizales,uncl_Pezizales
OTU4283,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,Kamienskia_divaricata
OTU5075,NS,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU314,NS,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU2006,NS,Fungi,Ascomycota,Dothideomycetes,Pleosporales,uncl_Pleosporales,uncl_Pleosporales,uncl_Pleosporales
OTU3874,NS,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU126,NS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,uncl_Agaricales,uncl_Agaricales,uncl_Agaricales
OTU379,Specialists,Fungi,Ascomycota,Sordariomycetes,Hypocreales,uncl_Hypocreales,uncl_Hypocreales,uncl_Hypocreales
OTU7548,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,Kamienskia_divaricata
OTU7652,NS,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Lecanicillium,uncl_Lecanicillium
OTU4710,Specialists,Fungi,Ascomycota,Dothideomycetes,Pleosporales,uncl_Pleosporales,uncl_Pleosporales,uncl_Pleosporales
OTU6305,NS,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,uncl_Chaetomiaceae,uncl_Chaetomiaceae
OTU4503,NS,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Bisifusarium,uncl_Bisifusarium
OTU7890,NS,Fungi,Basidiomycota,Tremellomycetes,Tremellales,uncl_Tremellales,uncl_Tremellales,uncl_Tremellales
OTU6909,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,Kamienskia_divaricata
OTU5121,NS,Fungi,Basidiomycota,uncl_Basidiomycota,uncl_Basidiomycota,uncl_Basidiomycota,uncl_Basidiomycota,uncl_Basidiomycota
OTU400,Specialists,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,uncl_Phoma
OTU4955,NS,Fungi,Ascomycota,Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes
OTU5324,NS,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU2113,NS,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU587,NS,Fungi,Ascomycota,Sordariomycetes,Hypocreales,uncl_Hypocreales,uncl_Hypocreales,uncl_Hypocreales
OTU1019,Specialists,Fungi,Ascomycota,Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes
OTU4682,NS,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU6027,Specialists,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU1730,NS,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU5310,Specialists,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU4296,NS,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU5375,NS,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,uncl_Halosphaeriaceae,uncl_Halosphaeriaceae
OTU3676,NS,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,uncl_Serendipitaceae,uncl_Serendipitaceae
OTU4307,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU119,NS,Fungi,Ascomycota,Dothideomycetes,Pleosporales,uncl_Pleosporales,uncl_Pleosporales,uncl_Pleosporales
OTU4522,NS,Fungi,Mucoromycota,Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes
OTU1101,NS,Fungi,Ascomycota,Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes
OTU2232,Specialists,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,uncl_Auriculariales,uncl_Auriculariales,uncl_Auriculariales
OTU5212,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_prolifer
OTU3554,NS,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metacordyceps,uncl_Metacordyceps
OTU9272,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU2178,NS,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,uncl_Coniochaetales,uncl_Coniochaetales,uncl_Coniochaetales
OTU5150,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,uncl_Glomerales,uncl_Glomerales,uncl_Glomerales
OTU6775,NS,Fungi,Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota
OTU1327,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU3414,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU1793,NS,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU8142,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU6429,NS,Fungi,Mucoromycota,Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes
OTU1564,NS,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,uncl_Tomentella
OTU12494,Specialists,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU459,NS,Fungi,Basidiomycota,Agaricomycetes,Geastrales,uncl_Geastrales,uncl_Geastrales,uncl_Geastrales
OTU4651,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,uncl_Glomerales,uncl_Glomerales,uncl_Glomerales
OTU435,NS,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU6495,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,uncl_Kamienskia
OTU6097,NS,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU1168,Specialists,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,uncl_Ceratobasidiaceae,uncl_Ceratobasidiaceae
OTU6791,NS,Fungi,Mucoromycota,Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes
OTU5288,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU11767,NS,Fungi,Mucoromycota,Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes
OTU418,Specialists,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,uncl_Magnaporthales,uncl_Magnaporthales,uncl_Magnaporthales
OTU7425,NS,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,uncl_Orbilia
OTU959,NS,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU2552,Specialists,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Magnaporthiopsis,uncl_Magnaporthiopsis
OTU668,NS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,uncl_Agaricales,uncl_Agaricales,uncl_Agaricales
OTU434,NS,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU1868,NS,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,uncl_Serendipita
OTU3345,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_prolifer
OTU471,NS,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,uncl_Magnaporthales,uncl_Magnaporthales,uncl_Magnaporthales
OTU1563,NS,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,uncl_Sebacinales,uncl_Sebacinales,uncl_Sebacinales
OTU7137,NS,Fungi,Ascomycota,Dothideomycetes,Capnodiales,uncl_Capnodiales,uncl_Capnodiales,uncl_Capnodiales
OTU295,NS,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,uncl_Chaetothyriales,uncl_Chaetothyriales,uncl_Chaetothyriales
OTU3189,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,uncl_Rhizophagus
OTU3905,Generalists,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU10154,Specialists,Fungi,Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota
OTU3553,NS,Fungi,Ascomycota,Sordariomycetes,Hypocreales,uncl_Hypocreales,uncl_Hypocreales,uncl_Hypocreales
OTU2394,Specialists,Fungi,Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota
OTU779,NS,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU7803,Specialists,Fungi,Ascomycota,Dothideomycetes,Pleosporales,uncl_Pleosporales,uncl_Pleosporales,uncl_Pleosporales
OTU4424,NS,Fungi,Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota
OTU7025,NS,Fungi,Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota
OTU3355,NS,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU2150,Specialists,Fungi,Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota
OTU7466,NS,Fungi,Ascomycota,Dothideomycetes,Pleosporales,uncl_Pleosporales,uncl_Pleosporales,uncl_Pleosporales
OTU3361,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,uncl_Kamienskia
OTU2773,Generalists,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,uncl_Pyrenochaeta
OTU4668,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,uncl_Glomerales,uncl_Glomerales,uncl_Glomerales
OTU8689,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,uncl_Dominikia
OTU4086,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU3332,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU6668,NS,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU5519,Generalists,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU12384,NS,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,uncl_Funneliformis
OTU571,NS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,uncl_Entolomataceae,uncl_Entolomataceae
OTU6556,NS,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU2064,NS,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,uncl_Cladophialophora
OTU13043,NS,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU7038,NS,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU618,NS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,uncl_Tricholomataceae,uncl_Tricholomataceae
OTU12991,NS,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU12059,Specialists,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,uncl_Tulasnellaceae,uncl_Tulasnellaceae
OTU908,NS,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU1503,NS,Fungi,Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota,uncl_Mucoromycota
OTU282,NS,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU646,Specialists,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,uncl_Rhizopogonaceae,uncl_Rhizopogonaceae
OTU1205,NS,Fungi,Chytridiomycota,uncl_Chytridiomycota,uncl_Chytridiomycota,uncl_Chytridiomycota,uncl_Chytridiomycota,uncl_Chytridiomycota
OTU5374,NS,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,uncl_Serendipitaceae,uncl_Serendipitaceae
OTU2721,NS,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU3823,NS,Fungi,Basidiomycota,GS27,GS27_ord_Incertae_sedis,uncl_GS27_ord_Incertae_sedis,uncl_GS27_ord_Incertae_sedis,uncl_GS27_ord_Incertae_sedis
OTU795,Generalists,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,uncl_Herpotrichiellaceae,uncl_Herpotrichiellaceae
OTU6383,NS,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU690,NS,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,uncl_Rhizopogonaceae,uncl_Rhizopogonaceae
OTU9101,NS,Fungi,Ascomycota,Leotiomycetes,uncl_Leotiomycetes,uncl_Leotiomycetes,uncl_Leotiomycetes,uncl_Leotiomycetes
OTU1779,NS,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,uncl_Cladophialophora
OTU11746,NS,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU9516,NS,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU624,Specialists,Fungi,Ascomycota,Sordariomycetes,Hypocreales,uncl_Hypocreales,uncl_Hypocreales,uncl_Hypocreales
OTU5153,NS,Fungi,Basidiomycota,Agaricomycetes,uncl_Agaricomycetes,uncl_Agaricomycetes,uncl_Agaricomycetes,uncl_Agaricomycetes
