"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU1231",20,10.142,6,14.525,"Generalists"
"OTU756",2,1.318,1,2,"NS"
"OTU103",7,2.032,1,4,"Generalists"
"OTU106",3,1.632,1,3,"NS"
"OTU7090",4,2.87,1,5,"NS"
"OTU6337",9,2.632,1,4,"Generalists"
"OTU10535",4,1.816,1,3,"Generalists"
"OTU5463",2,2.204,1,4,"NS"
"OTU556",2,1.29,1,2,"NS"
"OTU150",3,14.41,10,19.525,"Specialists"
"OTU6166",1,2.014,1,4,"NS"
"OTU8521",4,5.586,3,8,"NS"
"OTU3329",1,3.834,2,6,"Specialists"
"OTU208",9,8.31,5,13,"NS"
"OTU273",2,1.798,1,3,"NS"
"OTU10013",5,8.068,5,12,"NS"
"OTU1033",5,11.78,8,16,"Specialists"
"OTU171",1,2.74,1,5,"NS"
"OTU7039",1,3.088,1,5,"NS"
"OTU5834",8,2.3,1,4,"Generalists"
"OTU630",1,20.506,15,26,"Specialists"
"OTU866",6,4.816,2.475,7,"NS"
"OTU8616",6,5.902,3,9,"NS"
"OTU2325",4,7.08,4,11,"NS"
"OTU9186",1,1.758,1,3,"NS"
"OTU7140",2,2.782,1,5,"NS"
"OTU10930",2,1.614,1,3,"NS"
"OTU5620",3,3.776,2,6,"NS"
"OTU7289",2,2.67,1,5,"NS"
"OTU6507",2,2.352,1,4,"NS"
"OTU112",8,19.068,14,25,"Specialists"
"OTU261",3,18.438,14,24,"Specialists"
"OTU1990",1,1.284,1,2,"NS"
"OTU9051",5,2.602,1,5,"NS"
"OTU955",2,3.078,1,5,"NS"
"OTU10966",1,1.29,1,2,"NS"
"OTU3537",1,1.872,1,3,"NS"
"OTU11211",3,20.556,16,26,"Specialists"
"OTU43",2,10.052,7,14,"Specialists"
"OTU660",1,14.698,10,19.525,"Specialists"
"OTU7390",3,2.412,1,4,"NS"
"OTU3582",2,1.504,1,3,"NS"
"OTU219",2,1.788,1,3,"NS"
"OTU1349",7,7.1,4,11,"NS"
"OTU378",4,22.724,17,28,"Specialists"
"OTU2142",4,1.882,1,3,"Generalists"
"OTU274",2,1.292,1,2,"NS"
"OTU251",3,12.194,8,17,"Specialists"
"OTU5065",6,16.522,11.475,21,"Specialists"
"OTU7104",5,2.184,1,4,"Generalists"
"OTU2059",2,1.562,1,3,"NS"
"OTU2182",5,15.54,11,20,"Specialists"
"OTU606",1,24.86,19,31,"Specialists"
"OTU5613",17,8.59,5,12,"Generalists"
"OTU6240",3,1.916,1,3,"NS"
"OTU1281",4,2.528,1,4,"NS"
"OTU12581",2,1.524,1,3,"NS"
"OTU17",3,22.898,17,29,"Specialists"
"OTU169",4,1.922,1,3,"Generalists"
"OTU152",4,3.314,1,6,"NS"
"OTU2288",4,4.902,2,8,"NS"
"OTU1151",2,1.774,1,3,"NS"
"OTU70",6,2.102,1,4,"Generalists"
"OTU3170",2,1.272,1,2,"NS"
"OTU6797",10,5.43,3,8,"Generalists"
"OTU8311",2,1.484,1,3,"NS"
"OTU1149",10,10.962,7,15,"NS"
"OTU2781",2,1.268,1,2,"NS"
"OTU2498",5,4.15,2,7,"NS"
"OTU698",3,20.614,15,27,"Specialists"
"OTU196",3,2.044,1,3.52499999999998,"NS"
"OTU10381",9,2.268,1,4,"Generalists"
"OTU217",5,26.938,21,33,"Specialists"
"OTU11998",2,1.498,1,3,"NS"
"OTU253",2,7.636,4,12,"Specialists"
"OTU2634",4,3.242,1,5,"NS"
"OTU3417",2,4.492,2,8,"NS"
"OTU199",5,2.258,1,4,"Generalists"
"OTU4803",2,1.316,1,2,"NS"
"OTU490",9,21.46,16.475,27,"Specialists"
"OTU7056",6,1.99,1,4,"Generalists"
"OTU2395",8,8.27,5,12,"NS"
"OTU774",2,1.286,1,2,"NS"
"OTU7452",1,7.508,4.475,11,"Specialists"
"OTU481",1,7.726,5,12,"Specialists"
"OTU5178",1,1.97,1,3,"NS"
"OTU3124",1,4.818,2,8,"Specialists"
"OTU399",2,2.386,1,4,"NS"
"OTU6369",2,1.648,1,3,"NS"
"OTU4147",1,3.326,2,5.52499999999998,"Specialists"
"OTU1416",1,2.266,1,4,"NS"
"OTU3849",3,3.206,1,5,"NS"
"OTU9132",1,1.292,1,2,"NS"
"OTU4493",1,2.74,1,5,"NS"
"OTU5589",7,3.452,1.475,6,"Generalists"
"OTU209",6,19.444,14,25,"Specialists"
"OTU5609",1,1.774,1,3,"NS"
"OTU7545",1,1.316,1,2,"NS"
"OTU6060",2,1.62,1,3,"NS"
"OTU7615",3,1.946,1,3,"NS"
"OTU2001",3,9.956,6,14,"Specialists"
"OTU558",21,20.328,15,26,"NS"
"OTU4759",4,15.68,11,21,"Specialists"
"OTU511",8,21.718,16.475,28,"Specialists"
"OTU3961",4,2.662,1,5,"NS"
"OTU4365",1,1.3,1,2,"NS"
"OTU5477",1,2.286,1,4,"NS"
"OTU586",8,8.234,5,12,"NS"
"OTU122",2,2.208,1,4,"NS"
"OTU212",4,1.664,1,3,"Generalists"
"OTU1916",17,8.714,5,12,"Generalists"
"OTU406",1,1.292,1,2,"NS"
"OTU3187",5,3.974,2,6.52499999999998,"NS"
"OTU722",2,3.38,2,6,"NS"
"OTU4114",3,2.126,1,4,"NS"
"OTU4916",2,1.474,1,2,"NS"
"OTU885",5,1.93,1,3,"Generalists"
"OTU386",6,21.604,16,27.525,"Specialists"
"OTU3639",2,1.316,1,2,"NS"
"OTU9674",1,1.332,1,2,"NS"
"OTU3574",2,1.934,1,3,"NS"
